Player_Age,Player_Weight,Player_Height,Previous_Injuries,Training_Intensity,Recovery_Time,Likelihood_of_Injury
31,100.03172,171.72269,1,0.94316,1,1
23,70.16016,177.57086,1,0.01075,5,1
35,81.99212,197.41818,1,0.27044,3,1
20,58.92359,187.84825,0,0.70361,4,1
30,72.20387,190.77193,1,0.87125,5,1
38,73.72801,194.17077,1,0.19078,1,1
23,79.72815,210.0,1,0.07072,5,0
25,47.77546,180.41589,0,0.00864,5,1
28,76.66141,194.20401,0,0.21521,6,1
25,63.50259,190.12635,1,0.07132,3,0
20,78.24346,189.96033,0,0.35938,6,1
28,64.63671,197.7424,1,0.44013,2,1
22,66.44517,175.80687,1,0.47992,6,0
30,72.26372,175.01315,0,0.14233,6,0
23,64.47671,183.19766,1,0.46399,1,0
35,70.24466,178.173,0,0.00905,5,1
24,63.06624,183.18501,1,0.23942,2,1
26,56.6683,195.62749,1,0.36909,4,1
32,85.17957,175.21853,1,0.11835,4,1
21,62.03951,176.95321,1,0.814,4,0
29,73.21319,181.74311,1,0.20121,5,1
34,82.52891,177.71682,1,0.75489,5,1
19,68.85056,160.85994,1,0.47389,3,0
28,66.74834,174.19872,0,0.47974,1,1
29,77.26238,186.87373,0,0.64519,2,0
31,86.17934,194.37547,1,0.04428,6,0
21,63.30685,168.45381,0,0.07876,4,0
21,73.49852,168.40718,1,0.32684,2,0
30,57.67505,180.30234,0,0.41682,3,0
29,71.06799,159.24405,0,0.42994,4,1
29,75.34205,175.5503,0,0.67689,2,1
29,66.45375,162.63958,1,0.00071,1,0
24,70.43008,193.69061,1,0.95911,1,0
29,60.91773,172.30669,0,0.17449,3,0
29,75.77079,196.52834,1,0.24863,2,1
24,85.55694,191.13521,1,0.90563,3,0
37,64.02856,173.53683,1,0.00549,3,1
30,68.77328,169.2804,1,0.99131,3,0
22,80.02546,178.06454,0,0.03596,5,1
31,87.12091,178.95353,1,0.12055,1,0
23,60.0681,183.46147,0,0.24011,5,0
31,73.31215,172.23457,0,0.43872,6,0
33,77.83131,187.46395,0,0.51845,5,1
23,73.97944,182.65328,0,0.10472,1,0
32,50.23208,176.59605,1,0.07367,3,1
30,80.0109,172.87959,0,0.03186,2,1
32,90.19336,178.15115,1,0.25675,3,0
37,76.16662,171.83099,1,0.92153,3,1
26,64.68894,180.58439,1,0.38984,5,1
24,69.86873,180.85439,1,0.76401,2,0
23,92.69913,182.61707,1,0.19019,1,0
23,84.09963,197.66242,0,0.06468,4,1
27,81.40027,178.67555,1,0.55428,1,1
29,78.56413,190.04598,0,0.82209,2,1
29,68.38863,182.29587,1,0.89846,1,1
32,72.99429,177.61756,0,0.5462,5,0
28,74.22077,178.80841,1,0.29403,2,0
35,80.49574,179.41174,0,0.10951,4,1
26,90.08919,182.79768,0,0.66782,4,1
39,86.18338,170.40679,1,0.28044,2,0
31,60.80616,165.3466,1,0.84396,1,1
23,77.23995,186.54297,0,0.60512,4,0
22,82.36763,188.98124,1,0.85888,6,0
30,81.1886,187.45636,0,0.56665,2,0
26,68.70766,181.54972,1,0.77174,2,1
31,104.14109,187.67225,1,0.29431,2,0
30,62.22915,187.13429,0,0.50306,3,0
27,64.16812,187.87629,0,0.01941,1,0
23,77.33595,171.40459,0,0.60783,2,1
20,96.16803,169.03048,0,0.53374,2,0
25,66.63805,176.11431,1,0.75528,3,1
32,72.34172,179.82616,1,0.72896,5,0
29,85.77294,177.58079,1,0.62762,3,0
21,74.82138,161.2331,0,0.05669,2,1
28,71.65396,197.21693,1,0.90301,1,1
29,80.65633,177.25954,0,0.01802,3,0
23,77.72518,181.72704,1,0.80327,2,0
28,85.30439,192.44549,0,0.47935,6,1
28,87.91469,156.55028,1,0.81799,1,1
22,78.07003,174.88306,0,0.46507,3,0
29,77.91733,176.12883,1,0.64694,4,1
30,77.14111,176.6369,0,0.36327,1,0
33,79.89131,178.26513,1,0.74368,6,0
33,75.55171,194.47135,1,0.25418,2,1
21,74.99392,186.73459,1,0.71936,1,0
23,86.96627,189.58035,1,0.19338,1,0
30,90.16116,180.4712,0,0.72217,2,0
30,59.92447,166.00627,0,0.29367,4,1
30,75.10021,159.20303,1,0.27863,1,1
39,68.11306,164.70592,0,0.81149,2,0
30,71.89029,183.59766,1,0.81369,1,0
33,79.02516,180.3177,1,0.6914,5,0
32,81.69438,177.89836,0,0.92391,4,0
31,73.87874,176.31423,1,0.15619,6,1
26,55.8666,200.11722,1,0.26932,5,1
31,65.34954,171.77096,1,0.29401,1,0
24,83.965,189.27819,1,0.30529,4,0
26,47.59574,180.01913,0,0.32803,2,1
25,86.87427,179.3906,1,0.69701,5,1
28,80.2123,191.76638,0,0.27076,4,0
39,88.16176,194.6253,1,0.28592,4,0
18,73.01431,177.60451,0,0.57041,1,0
31,54.38595,187.99203,0,0.19336,6,1
19,79.30363,183.63891,1,0.36489,5,0
25,87.74653,180.07437,0,0.05794,6,1
33,84.24722,182.04255,1,0.95255,2,1
28,68.37309,173.11991,0,0.31731,3,0
22,75.86761,176.93901,0,0.85004,1,0
24,69.67164,174.19365,0,0.52995,6,1
31,66.80734,189.01377,0,0.22821,4,0
24,84.55389,179.04799,1,0.19343,5,1
29,63.02468,167.02286,1,0.69496,3,1
28,66.06184,172.76563,0,0.96487,6,1
24,63.95974,150.0,0,0.18307,4,0
38,60.09752,175.05507,0,0.11542,5,1
31,76.46414,180.37645,0,0.3871,5,0
18,86.61503,178.63864,1,0.39381,3,1
28,73.15123,199.80154,1,0.80625,4,1
24,59.94252,185.74906,1,0.46889,3,1
32,83.39945,185.30452,1,0.06246,2,0
24,91.85702,163.56731,1,0.92067,1,1
27,68.53758,176.35358,0,0.37319,1,1
30,70.21446,175.13337,0,0.66853,2,0
32,80.15661,172.13919,1,0.66749,4,1
21,91.21874,172.00119,1,0.05634,3,1
26,69.80166,161.91877,0,0.0036,1,1
25,61.6755,167.24147,1,0.08804,2,1
24,81.31419,188.74093,1,0.95653,5,0
36,82.99068,178.57085,1,0.79399,6,1
30,75.06131,174.93598,0,0.13201,6,0
21,69.41867,179.94589,1,0.61487,1,1
32,84.94379,191.67391,1,0.61197,1,0
38,80.28036,180.04211,0,0.00056,2,1
33,67.31564,185.40374,1,0.42906,3,1
20,75.49095,171.53395,1,0.71178,1,1
25,61.48292,173.8137,0,0.18679,3,0
34,81.8589,183.53977,1,0.8509,6,1
24,72.37766,198.92654,0,0.6603,2,1
30,70.64289,194.29775,1,0.00692,5,0
31,74.67126,185.82828,1,0.85491,1,0
23,75.40308,181.51434,0,0.0194,6,1
27,83.9493,194.01069,0,0.88793,3,0
18,80.91091,187.94678,1,0.33372,3,1
22,73.43591,157.06338,1,0.69865,6,0
26,82.63668,169.46069,0,0.78743,6,0
21,79.00737,183.3814,1,0.28127,4,0
36,70.734,162.13032,0,0.35644,3,0
20,73.75282,171.02411,0,0.50954,6,0
25,73.51777,173.00185,1,0.58269,6,1
28,80.05261,177.43834,1,0.29204,6,0
35,71.32977,177.1257,1,0.9924,3,0
20,71.09591,177.1088,0,0.737,2,1
33,94.68757,188.25308,0,0.27415,3,0
28,84.39735,177.34776,1,0.64043,4,0
23,67.39399,176.1537,0,0.43537,5,0
30,80.70941,166.50828,0,0.86033,4,0
28,76.1835,190.24346,1,0.32895,6,0
24,78.91551,173.28502,1,0.18785,5,0
28,76.37341,169.1297,0,0.04614,1,0
26,86.89643,182.13091,0,0.98431,5,1
28,78.4562,172.33059,1,0.35922,5,0
31,74.37911,174.74047,1,0.22052,6,1
35,85.42191,182.5846,0,0.49177,6,0
21,77.33285,176.73517,1,0.29164,4,1
38,76.21479,203.11609,0,0.2329,2,0
18,78.14023,179.25171,1,0.61638,2,0
27,74.06391,186.17838,0,0.07485,5,1
30,75.09227,160.58306,1,0.50899,4,0
29,69.13305,171.39351,1,0.38743,2,0
24,67.48833,169.13086,1,0.53253,2,1
26,65.0143,170.4562,1,0.32044,4,1
25,61.08017,184.15538,0,0.57032,5,0
25,66.20283,190.35565,1,0.08182,6,1
32,73.25733,183.44631,0,0.37616,1,1
29,76.03118,177.73355,0,0.2375,4,1
24,72.28703,173.69145,0,0.43809,6,1
32,51.44297,191.136,0,0.39834,4,0
29,90.74586,200.71255,0,0.63118,4,1
32,85.8648,181.35056,1,0.62876,5,0
31,79.4576,189.39363,1,0.41336,5,0
23,94.07491,183.4337,1,0.18162,6,0
25,65.22636,187.55505,1,0.58191,4,1
31,93.87625,168.35453,0,0.96652,2,0
31,65.34786,175.11864,0,0.18544,1,1
27,77.38738,183.95469,1,0.06906,6,1
28,62.26163,192.12491,0,0.26456,3,0
34,75.14694,171.81866,0,0.41292,4,1
25,78.86166,159.66701,0,0.30619,4,0
30,73.4531,175.01736,0,0.83471,5,1
26,82.13877,190.10131,1,0.49303,5,1
26,75.99014,164.16104,0,0.24613,3,1
33,69.77585,168.2308,1,0.9502,6,1
32,69.33187,181.55919,0,0.12506,5,1
32,83.10914,178.84029,1,0.12291,5,0
34,68.46258,185.94466,1,0.24528,6,0
28,84.15403,167.71273,1,0.07677,2,1
31,87.22712,176.75021,0,0.75165,1,0
26,58.31286,191.95185,0,0.31281,2,1
29,86.32926,168.07104,1,0.72984,4,0
27,95.60423,194.76912,0,0.76274,2,0
28,77.52004,169.32583,0,0.23752,6,0
30,80.99084,188.49382,1,0.51836,3,1
23,85.37005,176.27041,1,0.51959,2,0
38,72.24518,168.55092,1,0.87136,5,1
22,76.8228,175.03101,1,0.02563,3,1
21,61.858,185.44929,1,0.3168,3,0
33,76.38635,179.93146,1,0.88249,4,1
31,79.98112,191.18469,0,0.2368,4,1
31,80.16163,194.3574,1,0.13688,5,1
31,85.65425,168.16969,1,0.57614,1,1
27,67.25198,167.43731,0,0.30588,3,0
23,69.67393,166.95206,0,0.46729,5,1
28,93.95507,171.00804,0,0.82001,4,1
24,73.49672,191.04215,1,0.5207,4,1
32,77.00034,185.60362,1,0.51589,1,1
27,74.3299,174.54972,0,0.27818,3,1
23,66.78319,179.88897,0,0.79287,3,1
26,91.23529,194.04306,1,0.73981,5,1
30,69.72299,199.08011,1,0.23412,1,1
25,63.72714,182.59384,0,0.32,2,0
23,70.4926,153.40719,0,0.78863,5,0
29,54.98294,182.97287,0,0.35772,3,1
29,68.48713,189.34748,0,0.40356,5,1
25,65.31871,182.24632,1,0.36441,5,0
25,81.17429,187.26515,1,0.16163,5,1
29,68.26586,183.57065,0,0.3409,5,1
20,83.87804,167.65355,1,0.80294,3,0
20,88.98484,171.13762,0,0.49108,1,0
24,82.81175,176.78848,1,0.45822,1,1
26,72.84612,190.65415,0,0.15635,4,1
29,76.41114,172.34116,0,0.17757,6,0
35,59.75015,184.55903,0,0.04295,4,0
32,73.66221,183.03693,0,0.01396,2,0
27,66.39562,195.86197,0,0.48801,1,1
27,81.94326,179.5832,0,0.40923,5,0
22,100.72752,162.45242,1,0.27538,6,0
27,79.99822,186.4687,0,0.99005,4,1
26,55.0886,201.38055,0,0.398,5,0
29,71.3877,187.12383,1,0.78885,2,1
23,76.22491,172.12338,0,0.21055,1,0
30,75.87357,169.18054,1,0.24704,3,0
35,67.69187,170.47031,0,0.56839,2,0
27,77.45292,200.03312,0,0.00403,3,1
30,62.57499,176.72673,0,0.01743,1,0
31,65.55091,173.37357,0,0.14222,3,1
25,81.45798,178.41563,1,0.22312,1,0
29,64.84337,176.83093,0,0.52785,5,0
28,80.38212,195.6765,1,0.68623,2,1
28,61.30536,169.85523,1,0.31188,5,1
24,92.64826,191.80643,0,0.23907,1,1
28,67.2573,181.22092,1,0.82281,1,1
30,72.76333,192.07027,0,0.16278,5,1
35,78.30613,195.82619,1,0.67833,6,1
32,69.3465,180.84798,1,0.93133,5,1
38,76.43406,176.84936,0,0.23221,5,0
24,80.75357,180.66179,0,0.08697,2,0
32,84.60613,179.05229,0,0.97976,2,1
28,82.91497,163.43034,0,0.27077,6,0
38,73.2819,195.5248,0,0.27566,1,1
23,73.53368,182.45785,1,0.48377,4,0
23,98.49109,168.36901,0,0.23106,5,1
25,84.49889,159.32477,0,0.99287,3,0
18,65.78176,156.72401,0,0.04297,3,0
25,75.99988,187.7048,0,0.45147,6,0
24,71.64857,173.81022,0,0.54835,3,1
28,73.64666,175.45099,0,0.46695,6,0
29,62.70505,184.88154,0,0.52052,5,1
37,70.88077,174.83952,0,0.98758,4,0
32,93.11556,185.46524,1,0.8769,6,0
25,80.79076,180.95264,1,0.30844,4,0
23,50.08839,179.1587,0,0.55148,6,0
30,87.16723,164.2725,1,0.00031,6,0
21,85.8963,171.80269,0,0.40957,2,0
37,71.40715,186.02535,1,0.16387,4,0
33,82.17264,173.17978,0,0.71136,3,0
25,66.40601,192.0537,1,0.22109,3,0
19,70.29744,203.46401,1,0.7489,5,0
34,89.98546,186.56385,1,0.31316,2,1
27,72.2827,194.92832,1,0.92583,6,0
34,56.30268,187.20727,1,0.44542,1,1
20,74.36697,174.65738,0,0.83952,6,0
25,74.21412,182.00152,1,0.62817,2,0
28,86.98369,200.13321,0,0.9774,1,0
28,75.14336,174.76446,0,0.74272,6,1
25,70.78418,169.60673,0,0.7277,2,1
31,85.45056,168.65806,1,0.26487,4,0
22,76.2079,177.82471,0,0.50486,2,0
27,67.49977,169.96528,1,0.29011,5,1
28,86.54998,196.74019,1,0.01929,1,1
30,76.93662,182.16357,0,0.71059,4,1
31,75.02926,189.71726,0,0.23584,4,1
22,76.77908,177.01335,1,0.39732,2,1
20,64.29332,168.59803,1,0.28464,4,1
34,69.72346,166.90606,0,0.19964,3,0
29,75.03583,170.92008,0,0.06712,3,0
24,73.05336,183.47525,0,0.33789,3,1
35,87.72428,185.19883,0,0.08174,2,0
28,77.17406,186.03196,0,0.54032,1,0
33,83.54904,165.11327,1,0.01962,2,0
28,75.09395,179.99591,1,0.94002,5,0
38,85.56288,169.73938,1,0.96648,4,1
36,78.97528,184.01466,0,0.30465,3,0
26,75.1342,184.79077,0,0.26019,2,1
32,74.86717,168.27827,1,0.10441,2,0
31,65.45561,189.6803,1,0.90492,4,1
34,80.06916,203.38823,0,0.58686,2,1
23,74.59795,188.34836,1,0.61012,3,0
31,69.98008,178.37166,1,0.89586,4,1
33,86.06462,176.83454,1,0.91079,1,0
19,62.49784,177.90936,1,0.82834,3,0
22,70.77504,172.39266,1,0.77344,5,0
18,85.27719,182.52398,0,0.87724,5,1
26,78.15523,168.61537,1,0.87597,6,1
31,74.52141,161.10302,0,0.36864,6,1
35,77.51004,182.19602,0,0.97339,4,1
28,76.79414,180.21233,0,0.70913,3,1
36,59.83337,174.2883,0,0.37021,6,1
21,71.50738,167.17303,1,0.44205,3,0
19,91.16522,182.89744,0,0.68713,3,0
27,68.40676,170.09825,1,0.3611,5,1
29,71.81699,178.61056,0,0.82656,4,1
27,69.58379,197.64972,0,0.14806,5,1
18,74.12985,186.5119,1,0.90759,6,1
27,69.16877,166.30867,0,0.3012,2,0
21,79.86742,167.25148,1,0.15271,6,0
31,76.97313,181.51819,0,0.85802,1,1
29,82.73548,166.24679,1,0.23946,5,1
23,64.49059,159.98275,0,0.8434,4,0
25,71.5966,185.32372,1,0.29626,5,1
22,72.74277,183.20936,0,0.93386,2,0
27,79.55647,184.50598,1,0.21908,2,1
32,67.06779,182.63035,1,0.06965,2,1
23,84.15654,179.34689,0,0.93653,2,1
30,86.86416,173.37811,0,0.16563,1,1
25,65.11128,185.16135,1,0.94413,3,0
24,70.09127,195.29883,1,0.82398,6,0
27,69.68068,174.98771,0,0.08193,2,0
22,101.32386,169.7926,1,0.44514,1,1
25,70.701,168.64881,1,0.0734,5,0
22,91.77625,171.3327,1,0.32979,2,0
37,62.33368,182.02599,1,0.3515,5,0
28,65.10349,158.60372,1,0.59963,5,0
24,68.13395,184.3917,1,0.9759,4,1
29,66.54311,186.43913,1,0.16976,1,0
27,72.32101,162.01922,0,0.32915,1,1
26,67.91222,170.2082,1,0.5871,2,0
31,66.80658,180.79681,1,0.17142,2,1
31,86.58472,178.5653,1,0.71071,2,1
25,87.23794,185.19637,0,0.40366,1,1
25,84.49296,178.58863,0,0.94957,5,0
26,80.23999,192.6477,1,0.62987,5,1
18,75.92743,176.78831,1,0.36308,2,0
20,70.02969,170.16967,0,0.71947,5,0
34,65.46842,169.36558,0,0.83875,2,0
36,78.62996,187.35469,1,0.80048,6,0
26,63.2637,180.29621,1,0.26276,3,1
30,65.06079,186.33716,1,0.41698,5,1
29,86.52913,186.13122,1,0.45218,6,0
39,94.00649,159.8015,0,0.38838,1,0
33,78.93295,168.59917,1,0.31086,6,1
27,86.06457,169.79375,1,0.75275,4,0
23,72.54152,171.83936,1,0.01222,6,1
19,61.62326,175.79645,0,0.29354,6,1
29,81.12172,189.9915,0,0.14162,6,1
24,80.69289,191.98482,1,0.12877,1,0
20,75.71669,177.07109,1,0.27696,1,1
24,72.57625,177.48719,1,0.76215,4,0
22,84.62211,172.94566,1,0.96942,2,0
36,65.14267,180.89188,0,0.51462,5,0
32,67.26219,182.02521,1,0.33897,1,1
27,64.91893,188.06476,1,0.82917,5,1
35,75.84973,187.98439,1,0.0671,4,0
28,64.12107,156.97882,1,0.09317,6,1
23,68.15758,178.47455,0,0.34537,4,0
35,67.94244,193.841,1,0.44841,5,0
30,72.39392,175.61885,0,0.79784,5,1
22,60.12626,191.39242,1,0.92526,4,1
27,75.87205,176.93548,1,0.53128,2,1
23,87.47304,181.74923,1,0.49564,5,1
21,76.35491,168.63109,1,0.21301,3,0
32,90.41321,169.00751,0,0.45118,6,0
37,88.33998,187.25492,0,0.92364,3,1
21,82.77735,188.81818,1,0.3929,5,0
30,75.74686,180.26429,0,0.21068,1,1
24,75.225,167.72476,0,0.3373,4,1
25,82.638,180.43805,1,0.51459,2,1
25,71.08329,192.57235,1,0.59859,3,0
23,56.17479,197.42866,0,0.43243,3,0
28,79.92004,176.83292,0,0.75854,1,0
23,63.68931,163.40132,0,0.58445,5,1
29,65.37859,188.40364,1,0.66505,1,1
27,75.00224,177.24037,0,0.86292,2,1
26,74.04875,189.43041,1,0.86569,5,0
23,60.87924,182.81072,1,0.20351,3,0
25,76.65492,171.16556,0,0.62334,3,1
31,84.6614,180.58244,0,0.71664,4,0
30,63.71658,193.08338,1,0.14585,2,0
23,87.72483,178.50846,0,0.84277,3,1
28,59.39829,169.65195,1,0.18047,1,1
31,96.17324,164.11356,1,0.79928,3,0
19,70.8874,172.27835,0,0.16147,1,1
30,76.45617,175.89864,0,0.74178,1,1
24,56.07966,188.19999,1,0.14815,6,1
30,74.37864,168.79151,0,0.37883,6,1
24,77.28482,195.53752,0,0.14352,6,0
18,74.13838,166.62848,0,0.27072,5,1
19,69.36919,203.31486,1,0.98451,5,1
28,65.53435,197.25519,1,0.10768,3,1
29,86.30527,181.41166,0,0.40646,3,1
23,75.30807,163.52306,1,0.67692,1,1
31,90.40752,179.44576,0,0.0946,5,0
19,69.73518,176.13159,1,0.10903,3,0
27,70.65205,167.25713,0,0.14326,5,1
21,83.15594,182.9101,0,0.64499,2,0
24,58.77025,171.76357,1,0.90934,1,1
28,62.86537,172.85094,0,0.82599,6,1
23,85.97485,177.96321,0,0.98306,5,0
26,63.28066,174.25091,1,0.57814,3,1
33,56.80949,200.78157,1,0.96148,1,0
25,93.68527,174.64285,1,0.30493,4,0
32,61.06182,184.40881,1,0.4215,1,1
22,76.84119,181.45522,0,0.39604,2,0
30,75.69085,183.5275,0,0.04736,1,0
35,46.89372,184.29088,0,0.82971,6,1
18,72.32683,188.81361,0,0.02472,6,0
24,79.48413,182.66446,0,0.72988,5,0
30,78.54309,182.24896,1,0.40706,5,0
26,84.03521,180.58477,0,0.00625,3,0
29,71.12509,178.61582,0,0.28995,3,1
24,82.12504,170.88202,0,0.34613,1,0
28,68.10671,179.39132,0,0.9647,6,0
27,60.89533,182.41267,1,0.66108,1,1
33,62.02272,184.02165,0,0.54357,6,0
29,60.3789,181.80285,0,0.12705,1,1
29,85.09586,177.67045,1,0.3911,5,0
25,59.85426,179.4292,1,0.03576,5,1
25,77.74039,174.46354,1,0.76169,4,1
25,72.34076,183.13224,1,0.16278,4,1
29,73.97351,177.78872,1,0.59444,4,0
25,88.63607,181.80561,0,0.69939,3,0
29,70.61573,190.00803,0,0.36651,5,0
38,81.11602,172.90641,1,0.63259,1,1
32,75.37563,185.96695,0,0.76423,1,1
26,73.47981,180.3321,0,0.18412,4,0
34,97.99969,200.21194,0,0.60086,3,0
25,60.58658,177.837,0,0.73388,3,0
18,87.89132,186.95165,1,0.35705,4,0
22,81.56407,180.15353,0,0.16249,1,1
18,70.20475,166.11695,0,0.28612,3,0
26,91.29319,174.79311,1,0.93307,6,0
28,56.5189,188.80471,1,0.35745,6,0
36,69.78233,175.67306,1,0.1077,2,1
29,62.91518,157.79744,0,0.08273,6,0
26,79.12083,179.68597,0,0.1805,4,0
32,63.86936,169.07664,1,0.12751,1,0
18,79.33064,181.31818,0,0.49504,2,1
29,73.13564,195.51147,0,0.34755,5,0
31,70.20646,187.69457,1,0.84141,1,1
20,78.88647,195.36656,0,0.88108,2,0
33,72.31378,174.38488,0,0.47328,5,0
29,64.11365,178.56834,0,0.88853,3,0
25,103.01373,169.55564,0,0.45046,1,1
31,70.12833,173.15957,0,0.64196,1,1
39,52.82391,170.73115,0,0.16253,3,0
28,66.57901,166.93277,0,0.05258,1,1
29,62.32723,193.65857,0,0.16009,4,1
25,83.26146,159.0804,0,0.25185,2,0
23,78.21653,193.70139,1,0.75098,5,1
32,78.98713,192.46059,1,0.17351,5,0
23,71.29978,184.99793,0,0.13065,2,1
28,72.2065,168.85493,1,0.92761,4,1
25,71.29069,164.17825,1,0.6888,1,0
30,74.18807,174.51596,1,0.47331,3,1
29,83.35333,186.2512,0,0.09497,3,0
33,78.36075,180.03064,1,0.85179,1,0
25,80.00113,169.56501,1,0.10826,6,0
26,79.99559,191.48205,0,0.61105,5,1
23,83.84442,196.84383,1,0.66768,2,0
25,77.8815,177.73401,1,0.40014,2,0
29,78.58848,181.09337,0,0.91122,5,1
31,86.88806,164.91151,0,0.0507,2,1
23,68.34954,175.85613,0,0.81812,5,0
32,66.44257,185.1044,0,0.55379,4,1
34,63.14078,183.54857,0,0.6112,1,0
