InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
545356,SKU_1179,Wireless Mouse,7,21-01-24,34,48986,United States,0.23,Credit Card,8.75,Electronics,In-store,Not Returned,FedEx,Paris,Medium
679224,SKU_1806,Blue Pen,4,21-01-24,15.6,26200,United Kingdom,0.33,Bank Transfer,15.93,Accessories,In-store,Not Returned,FedEx,Rome,Medium
126178,SKU_1213,Headphones,2,21-01-24,47.53,,Portugal,0.44,Credit Card,15.65,Stationery,In-store,Not Returned,DHL,,Low
492758,SKU_1437,Notebook,44,21-01-24,88.86,28995,Portugal,0.28,paypall,26.4,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
199423,SKU_1479,Wireless Mouse,34,21-01-24,62.67,31448,Germany,0.16,Credit Card,13.39,Stationery,In-store,Returned,FedEx,London,Medium
823110,SKU_1152,Notebook,44,21-01-24,24.52,69693,Germany,0.18,Credit Card,9.45,Stationery,Online,Not Returned,Royal Mail,Rome,High
108000,SKU_1871,Wireless Mouse,41,21-01-24,63.09,98180,Sweden,0.49,paypall,6.85,Electronics,Online,Not Returned,FedEx,Paris,High
208407,SKU_1940,Wall Clock,23,22-01-24,59.25,45431,Netherlands,0.48,Credit Card,26.05,Apparel,In-store,Not Returned,FedEx,London,Low
232157,SKU_1412,Wall Clock,33,22-01-24,53.15,22968,United Kingdom,0.38,Bank Transfer,14.94,Apparel,Online,Not Returned,Royal Mail,Paris,Low
673613,SKU_1868,Backpack,37,22-01-24,27.93,50335,Spain,0.3,paypall,15.58,Furniture,Online,Not Returned,UPS,Rome,High
998300,SKU_1799,Desk Lamp,-28,22-01-24,-42.77,,United States,1.723706481956536,paypall,,Apparel,In-store,Not Returned,DHL,,Medium
555279,SKU_1122,White Mug,44,22-01-24,42.2,59262,Australia,0.49,Bank Transfer,27.96,Stationery,In-store,Not Returned,UPS,Rome,High
772982,SKU_1605,Notebook,27,22-01-24,23.77,92349,Australia,0.3,Bank Transfer,13.13,Accessories,Online,Not Returned,FedEx,Amsterdam,High
226190,SKU_1891,White Mug,28,22-01-24,69.83,17213,Australia,0.4,Credit Card,29.1,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium
426046,SKU_1890,Backpack,-12,22-01-24,-80.9,,Australia,1.2646704377553937,paypall,,Electronics,Online,Not Returned,UPS,,Low
366978,SKU_1593,Headphones,-39,22-01-24,-27.12,,Italy,0.07,Credit Card,,Apparel,In-store,Not Returned,FedEx,,Medium
447877,SKU_1619,USB Cable,39,22-01-24,91.22,34834,United Kingdom,0.38,Bank Transfer,10.05,Furniture,In-store,Not Returned,FedEx,Rome,High
636296,SKU_1751,Wall Clock,4,22-01-24,80.16,38300,United Kingdom,0.06,Bank Transfer,9.66,Accessories,Online,Not Returned,DHL,Berlin,Low
964930,SKU_1578,T-shirt,21,22-01-24,84.75,15776,United Kingdom,0.21,paypall,7.87,Apparel,Online,Not Returned,DHL,Amsterdam,Medium
671517,SKU_1779,USB Cable,19,22-01-24,78.4,64660,United States,0,Bank Transfer,19.51,Furniture,Online,Not Returned,UPS,Rome,Low
352844,SKU_1953,T-shirt,39,22-01-24,96.08,67168,Netherlands,0.42,Bank Transfer,25.28,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
212892,SKU_1242,White Mug,2,22-01-24,15.41,53228,Sweden,0.02,paypall,15.08,Electronics,Online,Not Returned,DHL,Paris,Medium
763372,SKU_1787,T-shirt,31,22-01-24,9.69,64031,Spain,0.32,Bank Transfer,24.71,Apparel,In-store,Not Returned,UPS,Rome,High
413269,SKU_1305,White Mug,20,22-01-24,88.59,66175,Spain,0.41,Bank Transfer,29.28,Electronics,Online,Not Returned,FedEx,Berlin,High
185702,SKU_1135,Desk Lamp,42,22-01-24,49,84416,France,0.28,Bank Transfer,7.5,Accessories,In-store,Not Returned,DHL,Rome,Medium
970596,SKU_1158,Desk Lamp,31,22-01-24,30.84,56172,Portugal,0.11,Bank Transfer,15.12,Stationery,Online,Not Returned,UPS,Rome,Medium
240921,SKU_1151,Blue Pen,3,22-01-24,91.75,83484,France,0.38,Credit Card,24.81,Accessories,Online,Not Returned,DHL,London,High
272444,SKU_1893,Wall Clock,23,22-01-24,39.88,27978,Italy,0.05,paypall,13.67,Furniture,Online,Not Returned,Royal Mail,Paris,Medium
113767,SKU_1908,Blue Pen,8,22-01-24,14.34,65635,United States,0.35,paypall,18.59,Apparel,Online,Not Returned,DHL,Rome,Low
573863,SKU_1455,Office Chair,41,22-01-24,10.43,96732,Sweden,0.01,Credit Card,28,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
533205,SKU_1553,Blue Pen,10,22-01-24,52.8,39993,United Kingdom,0.3,Bank Transfer,18.4,Accessories,In-store,Not Returned,DHL,Berlin,Medium
537586,SKU_1333,Desk Lamp,10,23-01-24,2.58,93614,Germany,0.44,Credit Card,10.46,Apparel,In-store,Not Returned,DHL,Berlin,Medium
669340,SKU_1462,Office Chair,11,23-01-24,95.17,61901,Germany,0.05,paypall,13.17,Stationery,Online,Not Returned,DHL,Paris,Medium
871430,SKU_1468,Backpack,9,23-01-24,11.85,35933,Belgium,0.04,Bank Transfer,26.7,Stationery,In-store,Not Returned,FedEx,Berlin,Low
869174,SKU_1846,Blue Pen,16,23-01-24,37.57,35722,Australia,0.36,Credit Card,29.7,Accessories,Online,Not Returned,Royal Mail,Berlin,Low
723715,SKU_1025,Blue Pen,42,23-01-24,32.02,69231,Italy,0.07,Bank Transfer,16.88,Electronics,In-store,Not Returned,UPS,Rome,Low
276361,SKU_1165,Desk Lamp,32,23-01-24,39.6,,Netherlands,0.11,Credit Card,9.02,Accessories,In-store,Not Returned,UPS,,Medium
754879,SKU_1365,T-shirt,19,23-01-24,74.77,97020,Norway,0.25,paypall,10.58,Stationery,Online,Not Returned,DHL,London,Medium
284236,SKU_1805,Notebook,28,23-01-24,51.83,45508,Netherlands,0.32,Bank Transfer,27.01,Stationery,In-store,Not Returned,UPS,Paris,Medium
462691,SKU_1438,T-shirt,29,23-01-24,9.58,,Australia,0.48,Bank Transfer,26.09,Electronics,In-store,Not Returned,DHL,,High
168125,SKU_1096,Blue Pen,12,23-01-24,10.42,39005,Germany,0.15,Credit Card,28.18,Apparel,In-store,Not Returned,Royal Mail,Paris,Medium
601490,SKU_1393,Blue Pen,18,23-01-24,31.22,38424,United States,0.39,paypall,24.86,Furniture,Online,Not Returned,FedEx,London,High
936713,SKU_1466,T-shirt,32,23-01-24,21,51490,Germany,0.13,Bank Transfer,9.02,Accessories,Online,Not Returned,UPS,Berlin,Medium
865378,SKU_1266,Notebook,23,23-01-24,49.07,62647,France,0.4,Credit Card,11.82,Accessories,In-store,Not Returned,FedEx,Rome,Medium
437429,SKU_1898,Headphones,22,23-01-24,96.44,51971,Spain,0.14,Bank Transfer,11.18,Stationery,In-store,Not Returned,UPS,Rome,Medium
581435,SKU_1122,Office Chair,5,23-01-24,68.89,67649,Portugal,0.42,Credit Card,25.23,Apparel,In-store,Not Returned,Royal Mail,Berlin,Medium
301109,SKU_1534,White Mug,8,23-01-24,90.12,31499,Italy,0.07,paypall,27.85,Apparel,Online,Not Returned,DHL,Paris,High
123423,SKU_1829,Headphones,36,23-01-24,53.96,27723,Italy,0.23,Bank Transfer,11.83,Accessories,Online,Returned,FedEx,Berlin,High
184693,SKU_1197,Notebook,-11,23-01-24,-64.89,,Belgium,0.21,paypall,,Apparel,In-store,Not Returned,DHL,,Medium
315777,SKU_1040,T-shirt,7,23-01-24,27.74,18402,Norway,0.46,Bank Transfer,11.93,Accessories,Online,Returned,UPS,Berlin,High
975292,SKU_1120,Blue Pen,44,23-01-24,15.41,71556,Belgium,0.44,Credit Card,26.91,Apparel,Online,Not Returned,FedEx,Rome,High
625994,SKU_1424,USB Cable,44,23-01-24,9.76,77847,Netherlands,0.19,Bank Transfer,29.6,Apparel,Online,Not Returned,Royal Mail,Rome,Low
938185,SKU_1860,Desk Lamp,38,23-01-24,38.97,78254,Belgium,0.03,Credit Card,19.11,Accessories,Online,Not Returned,Royal Mail,Rome,Medium
455899,SKU_1003,Backpack,30,23-01-24,25.64,78545,Norway,0.17,Bank Transfer,6.15,Furniture,Online,Not Returned,Royal Mail,Paris,High
927766,SKU_1254,USB Cable,47,23-01-24,14.49,43283,Portugal,0.13,paypall,6.19,Electronics,Online,Not Returned,FedEx,Amsterdam,High
691436,SKU_1642,Blue Pen,29,24-01-24,92.01,61809,Germany,0.26,paypall,23.52,Apparel,Online,Not Returned,Royal Mail,Amsterdam,Low
313446,SKU_1467,Backpack,3,24-01-24,14.28,43058,Belgium,0.45,Credit Card,24.42,Furniture,Online,Not Returned,UPS,Rome,Low
726889,SKU_1818,Office Chair,35,24-01-24,5.95,38219,Belgium,0.11,Credit Card,8.7,Furniture,Online,Not Returned,FedEx,Amsterdam,High
851323,SKU_1182,Desk Lamp,34,24-01-24,9.18,60549,Netherlands,0.06,paypall,9.76,Furniture,Online,Returned,FedEx,Rome,High
937059,SKU_1106,Office Chair,27,24-01-24,1.51,84562,Netherlands,0.09,Credit Card,25.67,Accessories,Online,Not Returned,DHL,Rome,Medium
639834,SKU_1498,Backpack,15,24-01-24,22.59,98293,United Kingdom,0.49,Bank Transfer,7.49,Stationery,In-store,Not Returned,Royal Mail,Berlin,High
804095,SKU_1446,Blue Pen,8,24-01-24,25.05,20223,Norway,0.41,paypall,18.93,Furniture,Online,Not Returned,DHL,Paris,Medium
436725,SKU_1176,USB Cable,32,24-01-24,66.43,68683,Sweden,0.49,paypall,20.13,Furniture,In-store,Returned,FedEx,Paris,Medium
780659,SKU_1071,Desk Lamp,8,24-01-24,13.38,80316,Sweden,0.09,Bank Transfer,25.66,Accessories,In-store,Not Returned,Royal Mail,Berlin,Low
560143,SKU_1069,Office Chair,40,24-01-24,21.46,63229,Germany,0.32,Bank Transfer,8.84,Apparel,In-store,Not Returned,UPS,Berlin,High
143347,SKU_1580,Office Chair,9,24-01-24,90.59,24151,Netherlands,0.19,Credit Card,5.29,Accessories,Online,Not Returned,UPS,Berlin,High
665509,SKU_1775,Backpack,25,24-01-24,4.39,23919,Australia,0.13,Bank Transfer,11.46,Accessories,Online,Returned,FedEx,London,Medium
796136,SKU_1122,Blue Pen,15,24-01-24,5.64,43913,Australia,0.25,Bank Transfer,28.85,Stationery,Online,Not Returned,FedEx,Paris,High
460347,SKU_1391,Wireless Mouse,12,24-01-24,41.45,17601,Netherlands,0.47,Credit Card,7.32,Apparel,Online,Not Returned,FedEx,Amsterdam,Low
640236,SKU_1226,White Mug,3,24-01-24,86.65,13215,Australia,0.48,Credit Card,26.38,Apparel,Online,Not Returned,Royal Mail,Berlin,High
125118,SKU_1914,Headphones,27,24-01-24,98.39,27828,Italy,0.41,Bank Transfer,26.37,Accessories,In-store,Not Returned,DHL,Amsterdam,Low
878790,SKU_1367,Wireless Mouse,28,24-01-24,15.88,45793,Netherlands,0.17,Bank Transfer,28.21,Furniture,Online,Not Returned,Royal Mail,Paris,High
990161,SKU_1457,Backpack,22,24-01-24,61.64,82556,Norway,0.21,Bank Transfer,20.16,Furniture,Online,Not Returned,DHL,London,Medium
226677,SKU_1182,Headphones,23,24-01-24,1.47,65690,Spain,0.17,Credit Card,25.61,Furniture,Online,Not Returned,FedEx,London,High
117021,SKU_1226,Blue Pen,-37,24-01-24,-95.24,,Netherlands,1.2524648707414712,paypall,,Accessories,In-store,Returned,FedEx,,Medium
567108,SKU_1968,Blue Pen,2,24-01-24,60.37,66459,Belgium,0.43,paypall,24.39,Furniture,Online,Returned,DHL,Berlin,Medium
551180,SKU_1071,Blue Pen,28,24-01-24,24.89,49912,Italy,0.29,paypall,7.66,Accessories,In-store,Not Returned,DHL,Berlin,Medium
148215,SKU_1511,Wireless Mouse,16,24-01-24,49.67,48970,Spain,0.19,Bank Transfer,25.43,Stationery,In-store,Returned,FedEx,Paris,Low
363367,SKU_1007,Wall Clock,5,24-01-24,63.38,44439,Norway,0.48,Bank Transfer,8.97,Apparel,Online,Not Returned,DHL,Rome,High
267182,SKU_1952,Backpack,48,25-01-24,2.04,88989,Australia,0.04,Credit Card,26.4,Apparel,In-store,Returned,UPS,Amsterdam,High
190162,SKU_1071,White Mug,28,25-01-24,8.12,31271,France,0.37,Credit Card,23.41,Stationery,In-store,Not Returned,FedEx,Rome,Low
720741,SKU_1723,Blue Pen,36,25-01-24,97.03,67674,United States,0.08,Bank Transfer,29.08,Accessories,In-store,Not Returned,UPS,Paris,Low
907958,SKU_1774,Desk Lamp,3,25-01-24,78.13,58082,Belgium,0,Credit Card,13.47,Electronics,Online,Not Returned,DHL,London,High
305464,SKU_1045,Office Chair,12,25-01-24,53.38,59993,United States,0.29,Bank Transfer,20.98,Stationery,Online,Not Returned,DHL,London,Low
138829,SKU_1149,USB Cable,11,25-01-24,23.55,94041,Norway,0.01,Credit Card,25.51,Stationery,Online,Not Returned,DHL,London,Medium
151862,SKU_1592,USB Cable,29,25-01-24,9.1,62810,Sweden,0.46,Credit Card,5.12,Furniture,Online,Not Returned,FedEx,Amsterdam,High
751336,SKU_1939,Backpack,13,25-01-24,79,29297,France,0.38,Bank Transfer,29.15,Apparel,Online,Not Returned,FedEx,Rome,Low
513552,SKU_1772,White Mug,9,25-01-24,88.73,63163,Australia,0,Bank Transfer,8.87,Electronics,In-store,Not Returned,FedEx,Amsterdam,Medium
130796,SKU_1481,Backpack,31,25-01-24,26.19,12436,Sweden,0.14,Bank Transfer,21.56,Stationery,In-store,Not Returned,UPS,London,High
520383,SKU_1408,Headphones,23,25-01-24,16.98,56009,France,0.03,Bank Transfer,13.85,Electronics,Online,Not Returned,FedEx,Berlin,Medium
641106,SKU_1174,Office Chair,49,25-01-24,96.37,57834,Italy,0.43,Credit Card,21.84,Furniture,Online,Returned,UPS,Rome,Low
532108,SKU_1426,USB Cable,2,25-01-24,44.95,72133,France,0.22,paypall,15.81,Electronics,In-store,Not Returned,DHL,Paris,High
910920,SKU_1654,T-shirt,22,25-01-24,76.85,83184,Portugal,0.48,Bank Transfer,12.57,Accessories,In-store,Not Returned,FedEx,Rome,Medium
793312,SKU_1703,Wall Clock,19,25-01-24,43.86,68221,Netherlands,0.31,Bank Transfer,13.89,Electronics,In-store,Returned,FedEx,Paris,High
970336,SKU_1670,Wireless Mouse,-7,25-01-24,-27.44,,United States,1.1797002474188107,paypall,,Stationery,In-store,Not Returned,UPS,,Low
554673,SKU_1236,T-shirt,29,25-01-24,48.5,43123,United Kingdom,0.49,Bank Transfer,13.52,Apparel,Online,Not Returned,UPS,Rome,Low
196931,SKU_1594,T-shirt,40,25-01-24,45.48,91937,Australia,0.23,paypall,24.06,Stationery,Online,Returned,FedEx,Berlin,High
785621,SKU_1811,Office Chair,48,25-01-24,52.69,43244,Germany,0.34,Bank Transfer,25.91,Apparel,Online,Not Returned,UPS,London,High
175520,SKU_1990,White Mug,5,25-01-24,90.04,91111,Italy,0.35,Bank Transfer,9.6,Accessories,In-store,Not Returned,FedEx,London,High
692622,SKU_1686,Wall Clock,6,25-01-24,11.57,93686,Spain,0.09,Bank Transfer,29.05,Furniture,Online,Not Returned,UPS,London,High
500819,SKU_1139,Headphones,23,25-01-24,52.42,,France,0.03,paypall,22.72,Electronics,Online,Returned,UPS,Rome,Medium
998019,SKU_1063,Backpack,-26,25-01-24,7.06,,United States,0.05,paypall,,Furniture,In-store,Not Returned,DHL,,Low
701528,SKU_1278,Wireless Mouse,47,25-01-24,61.13,76453,Portugal,0.23,Credit Card,28.47,Apparel,Online,Not Returned,DHL,London,High
866984,SKU_1049,White Mug,5,26-01-24,59.6,94592,United Kingdom,0.22,Credit Card,16.67,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
658549,SKU_1214,Wireless Mouse,46,26-01-24,93.11,,United Kingdom,0.29,Credit Card,21.99,Accessories,In-store,Not Returned,DHL,,Low
741655,SKU_1636,T-shirt,44,26-01-24,84.63,17382,France,0.39,Bank Transfer,28.17,Electronics,In-store,Not Returned,UPS,Paris,Low
377851,SKU_1035,USB Cable,7,26-01-24,22.22,69582,Portugal,0.1,Bank Transfer,26.63,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Low
380153,SKU_1650,Backpack,27,26-01-24,41.21,83069,Netherlands,0.21,Bank Transfer,13.62,Apparel,Online,Not Returned,UPS,Rome,High
815123,SKU_1597,Headphones,15,26-01-24,16.45,15705,Germany,0.16,Credit Card,24.41,Electronics,Online,Returned,DHL,London,Medium
938601,SKU_1430,Backpack,34,26-01-24,69.79,82550,Spain,0.4,Credit Card,23.71,Accessories,Online,Not Returned,UPS,London,Medium
642519,SKU_1504,White Mug,27,26-01-24,59.03,58704,United Kingdom,0.38,Credit Card,6.84,Accessories,Online,Not Returned,DHL,Berlin,Low
627534,SKU_1567,Wall Clock,6,26-01-24,86.85,89442,United Kingdom,0.32,Credit Card,19.79,Apparel,Online,Not Returned,UPS,Rome,High
814242,SKU_1248,Office Chair,27,26-01-24,68.55,,United Kingdom,0.09,Bank Transfer,11.74,Stationery,Online,Returned,DHL,,High
391969,SKU_1733,Wall Clock,20,26-01-24,10.12,14839,Netherlands,0.49,paypall,24.38,Stationery,Online,Returned,DHL,Paris,Medium
509141,SKU_1836,Wall Clock,21,26-01-24,8.41,28172,Australia,0.04,Credit Card,26.77,Furniture,In-store,Not Returned,Royal Mail,Berlin,High
625604,SKU_1804,Notebook,23,26-01-24,7,74399,Germany,0.44,Bank Transfer,8.95,Stationery,Online,Not Returned,UPS,Berlin,Medium
708158,SKU_1467,Blue Pen,-27,26-01-24,-22.27,,Spain,1.8524021839967109,paypall,,Accessories,Online,Not Returned,UPS,,High
196608,SKU_1760,Office Chair,3,26-01-24,98.6,,Netherlands,0.24,Bank Transfer,27.5,Apparel,In-store,Not Returned,DHL,,Low
739199,SKU_1509,White Mug,9,26-01-24,23.79,63323,Australia,0.26,Bank Transfer,8.02,Apparel,In-store,Returned,FedEx,Paris,Low
495242,SKU_1393,Wireless Mouse,24,26-01-24,36.52,34174,France,0.37,Credit Card,27.78,Furniture,In-store,Not Returned,UPS,London,Low
298155,SKU_1439,Desk Lamp,10,26-01-24,56.05,24392,France,0.22,Credit Card,28.97,Furniture,Online,Not Returned,UPS,Paris,Low
377433,SKU_1725,USB Cable,37,26-01-24,35.25,26751,Norway,0.05,Credit Card,24.18,Furniture,Online,Not Returned,UPS,London,High
464226,SKU_1809,T-shirt,25,26-01-24,15.83,71669,Norway,0.17,paypall,12,Stationery,Online,Not Returned,Royal Mail,Rome,High
673174,SKU_1157,Wall Clock,-29,26-01-24,-70.41,,France,1.8075766580243335,Bank Transfer,,Stationery,Online,Not Returned,UPS,,Medium
165020,SKU_1093,White Mug,4,26-01-24,82.41,49883,Portugal,0.49,paypall,26.63,Accessories,In-store,Returned,DHL,Rome,Medium
925711,SKU_1789,Blue Pen,47,26-01-24,69.49,65928,Belgium,0.42,paypall,14.1,Accessories,Online,Not Returned,UPS,London,High
468205,SKU_1485,T-shirt,7,26-01-24,61.79,52724,Sweden,0.22,Bank Transfer,28.86,Stationery,Online,Not Returned,DHL,Paris,Medium
185643,SKU_1997,Wireless Mouse,17,27-01-24,19.16,82490,Italy,0.4,Credit Card,11.72,Furniture,In-store,Not Returned,DHL,Rome,Medium
461971,SKU_1438,Wireless Mouse,2,27-01-24,68.04,61145,Netherlands,0.14,Bank Transfer,27.39,Apparel,Online,Not Returned,Royal Mail,Rome,High
490233,SKU_1165,Desk Lamp,19,27-01-24,30.36,31358,Spain,0.39,Bank Transfer,16.6,Stationery,Online,Not Returned,UPS,Paris,Low
520495,SKU_1055,Backpack,16,27-01-24,73.52,41897,France,0.23,Credit Card,14.82,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Low
293607,SKU_1454,Notebook,42,27-01-24,99.89,59350,Portugal,0.39,Credit Card,18.04,Stationery,Online,Not Returned,DHL,Amsterdam,High
604240,SKU_1369,Office Chair,35,27-01-24,36.91,57144,United Kingdom,0.1,Credit Card,29.63,Apparel,Online,Not Returned,Royal Mail,Rome,Low
689488,SKU_1377,Wall Clock,23,27-01-24,78.95,59203,France,0.27,Bank Transfer,28.62,Stationery,Online,Not Returned,DHL,London,Low
342950,SKU_1931,T-shirt,-17,27-01-24,-51.4,,Sweden,0.21,Bank Transfer,,Furniture,Online,Not Returned,FedEx,,Low
981934,SKU_1845,White Mug,-38,27-01-24,-36.87,,Netherlands,1.8918076904373144,Credit Card,,Apparel,In-store,Returned,Royal Mail,,Low
243867,SKU_1394,Wireless Mouse,1,27-01-24,46.51,,United Kingdom,0.15,Bank Transfer,16.85,Accessories,In-store,Not Returned,DHL,,High
706824,SKU_1390,Blue Pen,22,27-01-24,97.09,63748,Italy,0.24,Bank Transfer,27.86,Stationery,In-store,Not Returned,UPS,Rome,Medium
317507,SKU_1351,T-shirt,17,27-01-24,66.37,54227,France,0.38,Bank Transfer,28.62,Accessories,Online,Not Returned,FedEx,Amsterdam,High
318183,SKU_1081,Notebook,44,27-01-24,42.23,31258,Italy,0.24,Bank Transfer,12.38,Stationery,In-store,Not Returned,DHL,Amsterdam,Medium
816873,SKU_1545,Notebook,13,27-01-24,91.87,37646,Australia,0.18,Credit Card,29,Apparel,Online,Not Returned,UPS,Rome,Low
